production_bk,production_company,production_country,production_language
19352,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,United States of America,Spoken
19352,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,United States of America,Spoken
19352,Mediastream Dritte Film GmbH & Co. Beteiligungs KG,United States of America,Spoken
19354,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,Germany,Spoken
19354,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,United States of America,Spoken
19354,Mediastream Vierte Film GmbH & Co. Vermarktungs KG,United States of America,Spoken
19355,Canlaws Productions,Germany,Spoken
19385,R&C Produzioni,Spain,Original
19404,Pinewood Studios,United States of America,Original
19404,Pinewood Studios,United Kingdom,Original
19456,Envision Media Arts,United States of America,Original
19477,Dune Films,United States of America,Original
19477,Dune Films,Morocco,Spoken
19477,Dune Films,United States of America,Spoken
19477,Dune Films,United States of America,Spoken
19477,Dune Films,Germany,Spoken
19477,Dune Films,United States of America,Spoken
19478,BK,United States of America,Spoken
19479,KOH,United States of America,Spoken
19480,Reino del Cielo,United States of America,Spoken
19481,Babelsberg Film,United States of America,Spoken
19481,Babelsberg Film,Germany,Spoken
19481,Babelsberg Film,United States of America,Spoken
19481,Babelsberg Film,United States of America,Spoken
19482,Inside Track 3,United States of America,Spoken
19483,Calle Cruzada,United States of America,Spoken
19491,Jerico,France,Original
19498,Ocean Films,Spain,Original
19507,Outlaw Productions (I),United States of America,Spoken
19507,Outlaw Productions (I),United States of America,Original
19507,Outlaw Productions (I),United States of America,Spoken
19507,Outlaw Productions (I),United States of America,Spoken
19508,Mindhunters (UK) Limited,United States of America,Spoken
19509,Mindhunters Productie BV,United States of America,Spoken
19510,Tonna Oy,United States of America,Spoken
19511,Outlaw Victoria Productions Inc.,United States of America,Spoken
19523,AFG Talons Productions,United States of America,Spoken
19528,ApolloProScreen Filmproduktion,United States of America,Original
19542,Global Emerging Markets (GEM),Denmark,Original
19543,HeLo,Denmark,Original
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Original
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,Australia,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19551,Marvel Enterprises,United States of America,Spoken
19552,Horseshoe Bay Productions,United States of America,Spoken
19552,Horseshoe Bay Productions,United States of America,Original
19553,Elektra Productions,United States of America,Spoken
19554,SAI Productions,United States of America,Spoken
19558,Jack Dietz Productions,United States of America,Original
19577,What to Expect Productions,United States of America,Spoken
19578,Momentum Pictures,United Kingdom,Original
19579,Molinare Investment,United Kingdom,Original
19579,Molinare Investment,United States of America,Original
19600,Sunchaser Entertainment,Germany,Original
19601,Favorit Film,Germany,Original
19621,Dreams of Dragon Picture,United States of America,Spoken
19631,Truth Entertainment,United States of America,Original
19636,Thirteen Productions,United States of America,Spoken
19643,"Sommers Company, The",United States of America,Spoken
19647,Monolith Pictures (III),United States of America,Spoken
19648,Radical Studios,United States of America,Spoken
19648,Radical Studios,United States of America,Spoken
19658,Jackie & JJ Production,China,Original
19690,Caneo Films,United States of America,Spoken
19718,Battlefield Productions,United States of America,Spoken
19719,Saints LA,United States of America,Original
